,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
11,2012-06-13,21:45,UEFA Euro,Group stage,Wed,Neutral,L,1,2,de Germany,,,,37750.0,Mark van Bommel,4-2-3-1,Jonas Eriksson,Match Report,,,,,0,0,2012,Netherlands
12,2012-06-17,21:45,UEFA Euro,Group stage,Sun,Neutral,L,1,2,pt Portugal,,,,37445.0,Rafael van der Vaart,4-2-3-1,Nicola Rizzoli,Match Report,,,,,0,0,2012,Netherlands
12,2012-06-10,20:45,UEFA Euro,Group stage,Sun,Neutral,L,1,3,hr Croatia,,,,39550.0,Damien Duff,4-4-2,Björn Kuipers,Match Report,,,,,0,0,2012,Republic-of-Ireland
13,2012-06-14,20:45,UEFA Euro,Group stage,Thu,Neutral,L,0,4,es Spain,,,,39150.0,Robbie Keane,4-4-2,Pedro Proença,Match Report,,,,,0,0,2012,Republic-of-Ireland
14,2012-06-18,20:45,UEFA Euro,Group stage,Mon,Neutral,L,0,2,it Italy,,,,38794.0,Damien Duff,4-4-2,Cüneyt Çakιr,Match Report,,,,,0,0,2012,Republic-of-Ireland
12,2008-06-10,18:00,UEFA Euro,Group stage,Tue,Neutral,W,4,1,ru Russia,,,,30772.0,Iker Casillas,4-4-2,Konrad Plautz,Match Report,,,,,0,0,2008,Spain
13,2008-06-14,18:00,UEFA Euro,Group stage,Sat,Neutral,W,2,1,se Sweden,,,,30772.0,Iker Casillas,4-4-2,Pieter Vink,Match Report,,,,,0,0,2008,Spain
14,2008-06-18,20:45,UEFA Euro,Group stage,Wed,Neutral,W,2,1,gr Greece,,,,30883.0,Xabi Alonso,4-2-3-1,Howard Webb,Match Report,,,,,0,0,2008,Spain
15,2008-06-22,20:45,UEFA Euro,Quarter-finals,Sun,Neutral,W,0 (4),0 (2),it Italy,,,,51178.0,Iker Casillas,4-4-2,Herbert Fandel,Match Report,Spain won on penalty kicks following extra time,,,,0,0,2008,Spain
16,2008-06-26,20:45,UEFA Euro,Semi-finals,Thu,Neutral,W,3,0,ru Russia,,,,51428.0,Iker Casillas,4-4-2,Frank De Bleeckere,Match Report,,,,,0,0,2008,Spain
17,2008-06-29,20:45,UEFA Euro,Final,Sun,Neutral,W,1,0,de Germany,,,,51428.0,Iker Casillas,4-1-4-1,Roberto Rosetti,Match Report,,,,,0,0,2008,Spain
12,2008-06-08,20:45,UEFA Euro,Group stage,Sun,Neutral,W,2,0,pl Poland,,,,30000.0,,4-4-2,Tom Henning Øvrebø,Match Report,,,,,0,0,2008,Germany
13,2008-06-12,18:00,UEFA Euro,Group stage,Thu,Neutral,L,1,2,hr Croatia,,,,30461.0,Michael Ballack,4-4-2,Frank De Bleeckere,Match Report,,,,,0,0,2008,Germany
14,2008-06-16,20:45,UEFA Euro,Group stage,Mon,Away,W,1,0,at Austria,,,,51428.0,Michael Ballack,4-4-2,Manuel Mejuto,Match Report,,,,,0,0,2008,Germany
15,2008-06-19,20:45,UEFA Euro,Quarter-finals,Thu,Neutral,W,3,2,pt Portugal,,,,39374.0,Michael Ballack,4-2-3-1,Peter Frojdfeldt,Match Report,,,,,0,0,2008,Germany
16,2008-06-25,20:45,UEFA Euro,Semi-finals,Wed,Neutral,W,3,2,tr Türkiye,,,,39374.0,Michael Ballack,4-2-3-1,Massimo Busacca,Match Report,,,,,0,0,2008,Germany
17,2008-06-29,20:45,UEFA Euro,Final,Sun,Neutral,L,0,1,es Spain,,,,51428.0,Michael Ballack,4-2-3-1,Roberto Rosetti,Match Report,,,,,0,0,2008,Germany
12,2008-06-10,18:00,UEFA Euro,Group stage,Tue,Neutral,L,1,4,es Spain,,,,30772.0,Sergei Semak,4-1-4-1,Konrad Plautz,Match Report,,,,,0,0,2008,Russia
13,2008-06-14,20:45,UEFA Euro,Group stage,Sat,Neutral,W,1,0,gr Greece,,,,31063.0,Sergei Semak,4-1-4-1,Roberto Rosetti,Match Report,,,,,0,0,2008,Russia
14,2008-06-18,20:45,UEFA Euro,Group stage,Wed,Neutral,W,2,0,se Sweden,,,,30772.0,Sergei Semak,4-1-4-1,Frank De Bleeckere,Match Report,,,,,0,0,2008,Russia
15,2008-06-21,20:45,UEFA Euro,Quarter-finals,Sat,Neutral,W,3,1,nl Netherlands,,,,38374.0,Sergei Semak,4-4-1-1,Ľuboš Micheľ,Match Report,Required Extra Time,,,,0,0,2008,Russia
16,2008-06-26,20:45,UEFA Euro,Semi-finals,Thu,Neutral,L,0,3,es Spain,,,,51428.0,Sergei Semak,4-4-1-1,Frank De Bleeckere,Match Report,,,,,0,0,2008,Russia
12,2008-06-07,20:45,UEFA Euro,Group stage,Sat,Neutral,L,0,2,pt Portugal,,,,29106.0,Emre Belözoğlu,4-1-4-1,Herbert Fandel,Match Report,,,,,0,0,2008,Turkiye
13,2008-06-11,20:45,UEFA Euro,Group stage,Wed,Away,W,2,1,ch Switzerland,,,,39730.0,Nihat Kahveci,4-1-2-1-2◆,Ľuboš Micheľ,Match Report,,,,,0,0,2008,Turkiye
14,2008-06-15,20:45,UEFA Euro,Group stage,Sun,Neutral,W,3,2,cz Czechia,,,,29016.0,Nihat Kahveci,4-4-2,Peter Frojdfeldt,Match Report,,,,,0,0,2008,Turkiye
15,2008-06-20,20:45,UEFA Euro,Quarter-finals,Fri,Neutral,W,1 (3),1 (1),hr Croatia,,,,51428.0,Nihat Kahveci,4-1-2-1-2◆,Roberto Rosetti,Match Report,Türkiye won on penalty kicks following extra time,,,,0,0,2008,Turkiye
16,2008-06-25,20:45,UEFA Euro,Semi-finals,Wed,Neutral,L,2,3,de Germany,,,,39374.0,Rüştü Reçber,4-1-4-1,Massimo Busacca,Match Report,,,,,0,0,2008,Turkiye
12,2008-06-08,18:00,UEFA Euro,Group stage,Sun,Away,W,1,0,at Austria,,,,51428.0,Niko Kovač,4-1-2-1-2◆,Pieter Vink,Match Report,,,,,1,1,2008,Croatia
13,2008-06-12,18:00,UEFA Euro,Group stage,Thu,Neutral,W,2,1,de Germany,,,,30461.0,Niko Kovač,4-4-1-1,Frank De Bleeckere,Match Report,,,,,0,0,2008,Croatia
14,2008-06-16,20:45,UEFA Euro,Group stage,Mon,Neutral,W,1,0,pl Poland,,,,30461.0,Dario Šimić,4-4-2,Kyros Vassaras,Match Report,,,,,0,0,2008,Croatia
15,2008-06-20,20:45,UEFA Euro,Quarter-finals,Fri,Neutral,L,1 (1),1 (3),tr Türkiye,,,,51428.0,Niko Kovač,4-4-1-1,Roberto Rosetti,Match Report,Türkiye won on penalty kicks following extra time,,,,0,0,2008,Croatia
12,2008-06-09,20:45,UEFA Euro,Group stage,Mon,Neutral,W,3,0,it Italy,,,,30777.0,Edwin van der Sar,4-2-3-1,Peter Frojdfeldt,Match Report,,,,,0,0,2008,Netherlands
13,2008-06-13,20:45,UEFA Euro,Group stage,Fri,Neutral,W,4,1,fr France,,,,30777.0,Edwin van der Sar,4-2-3-1,Herbert Fandel,Match Report,,,,,0,0,2008,Netherlands
14,2008-06-17,20:45,UEFA Euro,Group stage,Tue,Neutral,W,2,0,ro Romania,,,,30777.0,John Heitinga,4-2-3-1,Massimo Busacca,Match Report,,,,,0,0,2008,Netherlands
15,2008-06-21,20:45,UEFA Euro,Quarter-finals,Sat,Neutral,L,1,3,ru Russia,,,,38374.0,Edwin van der Sar,4-2-3-1,Ľuboš Micheľ,Match Report,Required Extra Time,,,,0,0,2008,Netherlands
14,2008-06-07,20:45,UEFA Euro,Group stage,Sat,Neutral,W,2,0,tr Türkiye,,,,29106.0,Nuno Gomes,4-3-3,Herbert Fandel,Match Report,,,,,0,0,2008,Portugal
15,2008-06-11,18:00,UEFA Euro,Group stage,Wed,Neutral,W,3,1,cz Czechia,,,,29016.0,Nuno Gomes,4-1-4-1,Kyros Vassaras,Match Report,,,,,0,0,2008,Portugal
16,2008-06-15,20:45,UEFA Euro,Group stage,Sun,Away,L,0,2,ch Switzerland,,,,39730.0,Fernando Meira,4-3-3,Konrad Plautz,Match Report,,,,,0,0,2008,Portugal
17,2008-06-19,20:45,UEFA Euro,Quarter-finals,Thu,Neutral,L,2,3,de Germany,,,,39374.0,Nuno Gomes,4-2-3-1,Peter Frojdfeldt,Match Report,,,,,0,0,2008,Portugal
12,2008-06-09,20:45,UEFA Euro,Group stage,Mon,Neutral,L,0,3,nl Netherlands,,,,30777.0,Gianluigi Buffon,4-3-3,Peter Frojdfeldt,Match Report,,,,,0,0,2008,Italy
13,2008-06-13,18:00,UEFA Euro,Group stage,Fri,Neutral,D,1,1,ro Romania,,,,30585.0,Alessandro Del Piero,4-2-3-1,Tom Henning Øvrebø,Match Report,,,,,0,0,2008,Italy
14,2008-06-17,20:45,UEFA Euro,Group stage,Tue,Neutral,W,2,0,fr France,,,,30585.0,Gianluigi Buffon,4-1-2-1-2◆,Ľuboš Micheľ,Match Report,,,,,1,1,2008,Italy
15,2008-06-22,20:45,UEFA Euro,Quarter-finals,Sun,Neutral,L,0 (2),0 (4),es Spain,,,,51178.0,Gianluigi Buffon,4-1-2-1-2◆,Herbert Fandel,Match Report,Spain won on penalty kicks following extra time,,,,0,0,2008,Italy
0,2008-06-07,18:00,UEFA Euro,Group stage,Sat,Home,L,0,1,cz Czechia,,,,39730.0,Alexander Frei,4-4-2,Roberto Rosetti,Match Report,,,,,0,0,2008,Switzerland
1,2008-06-11,20:45,UEFA Euro,Group stage,Wed,Home,L,1,2,tr Türkiye,,,,39730.0,Ludovic Magnin,4-4-1-1,Ľuboš Micheľ,Match Report,,,,,0,0,2008,Switzerland
2,2008-06-15,20:45,UEFA Euro,Group stage,Sun,Home,W,2,0,pt Portugal,,,,39730.0,Ludovic Magnin,4-4-1-1,Konrad Plautz,Match Report,,,,,1,1,2008,Switzerland
11,2008-06-10,20:45,UEFA Euro,Group stage,Tue,Neutral,W,2,0,gr Greece,,,,31063.0,Freddie Ljungberg,4-1-2-1-2◆,Massimo Busacca,Match Report,,,,,0,0,2008,Sweden
12,2008-06-14,18:00,UEFA Euro,Group stage,Sat,Neutral,L,1,2,es Spain,,,,30772.0,Freddie Ljungberg,4-4-2,Pieter Vink,Match Report,,,,,0,0,2008,Sweden
13,2008-06-18,20:45,UEFA Euro,Group stage,Wed,Neutral,L,0,2,ru Russia,,,,30772.0,Freddie Ljungberg,4-4-2,Frank De Bleeckere,Match Report,,,,,0,0,2008,Sweden
12,2008-06-07,18:00,UEFA Euro,Group stage,Sat,Away,W,1,0,ch Switzerland,,,,39730.0,Tomáš Ujfaluši,4-5-1,Roberto Rosetti,Match Report,,,,,0,0,2008,Czechia
13,2008-06-11,18:00,UEFA Euro,Group stage,Wed,Neutral,L,1,3,pt Portugal,,,,29016.0,Tomáš Ujfaluši,4-1-4-1,Kyros Vassaras,Match Report,,,,,0,0,2008,Czechia
14,2008-06-15,20:45,UEFA Euro,Group stage,Sun,Neutral,L,2,3,tr Türkiye,,,,29016.0,Tomáš Ujfaluši,4-4-1-1,Peter Frojdfeldt,Match Report,,,,,0,0,2008,Czechia
12,2008-06-09,18:00,UEFA Euro,Group stage,Mon,Neutral,D,0,0,fr France,,,,30585.0,Cristian Chivu,4-3-3,Manuel Mejuto,Match Report,,,,,0,0,2008,Romania
13,2008-06-13,18:00,UEFA Euro,Group stage,Fri,Neutral,D,1,1,it Italy,,,,30585.0,Cristian Chivu,4-3-3,Tom Henning Øvrebø,Match Report,,,,,0,1,2008,Romania
14,2008-06-17,20:45,UEFA Euro,Group stage,Tue,Neutral,L,0,2,nl Netherlands,,,,30777.0,Cristian Chivu,4-3-3,Massimo Busacca,Match Report,,,,,0,0,2008,Romania
0,2008-06-08,18:00,UEFA Euro,Group stage,Sun,Home,L,0,1,hr Croatia,,,,51428.0,Andreas Ivanschitz,3-5-2,Pieter Vink,Match Report,,,,,0,0,2008,Austria
1,2008-06-12,20:45,UEFA Euro,Group stage,Thu,Home,D,1,1,pl Poland,,,,51428.0,Andreas Ivanschitz,4-1-2-1-2◆,Howard Webb,Match Report,,,,,1,1,2008,Austria
2,2008-06-16,20:45,UEFA Euro,Group stage,Mon,Home,L,0,1,de Germany,,,,51428.0,Andreas Ivanschitz,4-2-3-1,Manuel Mejuto,Match Report,,,,,0,0,2008,Austria
14,2008-06-08,20:45,UEFA Euro,Group stage,Sun,Neutral,L,0,2,de Germany,,,,30000.0,,4-4-1-1,Tom Henning Øvrebø,Match Report,,,,,0,0,2008,Poland
15,2008-06-12,20:45,UEFA Euro,Group stage,Thu,Away,D,1,1,at Austria,,,,51428.0,Jacek Bąk,4-1-2-1-2◆,Howard Webb,Match Report,,,,,0,0,2008,Poland
16,2008-06-16,20:45,UEFA Euro,Group stage,Mon,Neutral,L,0,1,hr Croatia,,,,30461.0,Michał Żewłakow,4-4-1-1,Kyros Vassaras,Match Report,,,,,0,0,2008,Poland
12,2008-06-09,18:00,UEFA Euro,Group stage,Mon,Neutral,D,0,0,ro Romania,,,,30585.0,Lilian Thuram,4-4-2,Manuel Mejuto,Match Report,,,,,0,0,2008,France
13,2008-06-13,20:45,UEFA Euro,Group stage,Fri,Neutral,L,1,4,nl Netherlands,,,,30777.0,Lilian Thuram,4-4-1-1,Herbert Fandel,Match Report,,,,,0,0,2008,France
14,2008-06-17,20:45,UEFA Euro,Group stage,Tue,Neutral,L,0,2,it Italy,,,,30585.0,Thierry Henry,4-2-3-1,Ľuboš Micheľ,Match Report,,,,,0,0,2008,France
12,2008-06-10,20:45,UEFA Euro,Group stage,Tue,Neutral,L,0,2,se Sweden,,,,31063.0,Angelos Basinas,5-4-1,Massimo Busacca,Match Report,,,,,0,0,2008,Greece
13,2008-06-14,20:45,UEFA Euro,Group stage,Sat,Neutral,L,0,1,ru Russia,,,,31063.0,Angelos Basinas,4-3-3,Roberto Rosetti,Match Report,,,,,0,0,2008,Greece
14,2008-06-18,20:45,UEFA Euro,Group stage,Wed,Neutral,L,1,2,es Spain,,,,30883.0,Antonios Nikopolidis,4-2-3-1,Howard Webb,Match Report,,,,,0,0,2008,Greece
0,2004-06-12,17:00,UEFA Euro,Group stage,Sat,Away,W,2,1,pt Portugal,,,,48761.0,Theodoros Zagorakis,4-3-3,Pierluigi Collina,Match Report,,,,,1,1,2004,Greece
1,2004-06-16,17:00,UEFA Euro,Group stage,Wed,Neutral,D,1,1,es Spain,,,,25444.0,Theodoros Zagorakis,4-1-4-1,Ľuboš Micheľ,Match Report,,,,,0,0,2004,Greece
2,2004-06-20,19:45,UEFA Euro,Group stage,Sun,Neutral,L,1,2,ru Russia,,,,24347.0,Theodoros Zagorakis,4-1-4-1,Gilles Veissière,Match Report,,,,,0,0,2004,Greece
3,2004-06-25,19:45,UEFA Euro,Quarter-finals,Fri,Neutral,W,1,0,fr France,,,,45390.0,Theodoros Zagorakis,4-1-4-1,Anders Frisk,Match Report,,,,,0,0,2004,Greece
4,2004-07-01,19:45,UEFA Euro,Semi-finals,Thu,Neutral,W,1,0,cz Czechia,,,,42449.0,Theodoros Zagorakis,4-4-2,Pierluigi Collina,Match Report,Required Extra Time,,,,0,0,2004,Greece
5,2004-07-04,19:45,UEFA Euro,Final,Sun,Away,W,1,0,pt Portugal,,,,62865.0,Theodoros Zagorakis,4-3-3,Markus Merk,Match Report,,,,,0,0,2004,Greece
0,2004-06-12,17:00,UEFA Euro,Group stage,Sat,Home,L,1,2,gr Greece,,,,48761.0,Fernando Couto,4-2-3-1,Pierluigi Collina,Match Report,,,,,0,0,2004,Portugal
1,2004-06-16,19:45,UEFA Euro,Group stage,Wed,Home,W,2,0,ru Russia,,,,59273.0,Luís Figo,4-2-3-1,Terje Hauge,Match Report,,,,,0,0,2004,Portugal
2,2004-06-20,19:45,UEFA Euro,Group stage,Sun,Home,W,1,0,es Spain,,,,47491.0,Luís Figo,4-2-3-1,Anders Frisk,Match Report,,,,,0,0,2004,Portugal
3,2004-06-24,19:45,UEFA Euro,Quarter-finals,Thu,Home,W,2 (6),2 (5),eng England,,,,62564.0,Luís Figo,4-2-3-1,Urs Meier,Match Report,Portugal won on penalty kicks following extra time,,,,0,0,2004,Portugal
4,2004-06-30,19:45,UEFA Euro,Semi-finals,Wed,Home,W,2,1,nl Netherlands,,,,46679.0,Luís Figo,4-2-3-1,Anders Frisk,Match Report,,,,,0,0,2004,Portugal
5,2004-07-04,19:45,UEFA Euro,Final,Sun,Home,L,0,1,gr Greece,,,,62865.0,Luís Figo,4-2-3-1,Markus Merk,Match Report,,,,,0,0,2004,Portugal
0,2004-06-15,17:00,UEFA Euro,Group stage,Tue,Neutral,W,2,1,lv Latvia,,,,21744.0,Pavel Nedvěd,4-1-2-1-2◆,Gilles Veissière,Match Report,,,,,0,0,2004,Czechia
1,2004-06-19,19:45,UEFA Euro,Group stage,Sat,Neutral,W,3,2,nl Netherlands,,,,29935.0,Pavel Nedvěd,4-1-2-1-2◆,Manuel Mejuto,Match Report,,,,,0,0,2004,Czechia
2,2004-06-23,19:45,UEFA Euro,Group stage,Wed,Neutral,W,2,1,de Germany,,,,46849.0,Tomáš Galásek,4-1-2-1-2◆,Terje Hauge,Match Report,,,,,0,0,2004,Czechia
3,2004-06-27,19:45,UEFA Euro,Quarter-finals,Sun,Neutral,W,3,0,dk Denmark,,,,41092.0,Pavel Nedvěd,4-1-2-1-2◆,Valentin Ivanov,Match Report,,,,,0,0,2004,Czechia
4,2004-07-01,19:45,UEFA Euro,Semi-finals,Thu,Neutral,L,0,1,gr Greece,,,,42449.0,Pavel Nedvěd,4-1-2-1-2◆,Pierluigi Collina,Match Report,Required Extra Time,,,,0,0,2004,Czechia
0,2004-06-15,19:45,UEFA Euro,Group stage,Tue,Neutral,D,1,1,de Germany,,,,48197.0,Phillip Cocu,4-2-3-1,Anders Frisk,Match Report,,,,,0,0,2004,Netherlands
1,2004-06-19,19:45,UEFA Euro,Group stage,Sat,Neutral,L,2,3,cz Czechia,,,,29935.0,Phillip Cocu,4-3-3,Manuel Mejuto,Match Report,,,,,0,0,2004,Netherlands
2,2004-06-23,19:45,UEFA Euro,Group stage,Wed,Neutral,W,3,0,lv Latvia,,,,27904.0,Frank de Boer,4-3-3,Kim Milton Nielsen,Match Report,,,,,1,1,2004,Netherlands
3,2004-06-26,19:45,UEFA Euro,Quarter-finals,Sat,Neutral,W,0 (5),0 (4),se Sweden,,,,27762.0,Frank de Boer,4-3-3,Ľuboš Micheľ,Match Report,Netherlands won on penalty kicks following extra time,,,,0,0,2004,Netherlands
4,2004-06-30,19:45,UEFA Euro,Semi-finals,Wed,Away,L,1,2,pt Portugal,,,,46679.0,Phillip Cocu,4-3-3,Anders Frisk,Match Report,,,,,0,0,2004,Netherlands
0,2004-06-13,19:45,UEFA Euro,Group stage,Sun,Neutral,L,1,2,fr France,,,,62487.0,David Beckham,4-4-1-1,Markus Merk,Match Report,,,,,0,1,2004,England
1,2004-06-17,17:00,UEFA Euro,Group stage,Thu,Neutral,W,3,0,ch Switzerland,,,,28214.0,David Beckham,,Valentin Ivanov,Match Report,,,,,0,0,2004,England
2,2004-06-21,19:45,UEFA Euro,Group stage,Mon,Neutral,W,4,2,hr Croatia,,,,57047.0,David Beckham,4-4-2,Pierluigi Collina,Match Report,,,,,0,0,2004,England
3,2004-06-24,19:45,UEFA Euro,Quarter-finals,Thu,Away,L,2 (5),2 (6),pt Portugal,,,,62564.0,David Beckham,4-4-2,Urs Meier,Match Report,Portugal won on penalty kicks following extra time,,,,0,0,2004,England
0,2004-06-13,19:45,UEFA Euro,Group stage,Sun,Neutral,W,2,1,eng England,,,,62487.0,Zinédine Zidane,4-4-2,Markus Merk,Match Report,,,,,1,1,2004,France
1,2004-06-17,19:45,UEFA Euro,Group stage,Thu,Neutral,D,2,2,hr Croatia,,,,29160.0,Marcel Desailly,4-3-3,Kim Milton Nielsen,Match Report,,,,,0,0,2004,France
2,2004-06-21,19:45,UEFA Euro,Group stage,Mon,Neutral,W,3,1,ch Switzerland,,,,28111.0,Zinédine Zidane,4-2-2-2,Ľuboš Micheľ,Match Report,,,,,0,0,2004,France
3,2004-06-25,19:45,UEFA Euro,Quarter-finals,Fri,Neutral,L,0,1,gr Greece,,,,45390.0,Zinédine Zidane,4-2-2-2,Anders Frisk,Match Report,,,,,0,0,2004,France
0,2004-06-14,19:45,UEFA Euro,Group stage,Mon,Neutral,W,5,0,bg Bulgaria,,,,31652.0,Olof Mellberg,4-1-2-1-2◆,Michael Riley,Match Report,,,,,1,1,2004,Sweden
1,2004-06-18,19:45,UEFA Euro,Group stage,Fri,Neutral,D,1,1,it Italy,,,,44926.0,Olof Mellberg,,Urs Meier,Match Report,,,,,0,0,2004,Sweden
2,2004-06-22,19:45,UEFA Euro,Group stage,Tue,Neutral,D,2,2,dk Denmark,,,,26115.0,Olof Mellberg,4-4-2,Markus Merk,Match Report,,,,,1,1,2004,Sweden
3,2004-06-26,19:45,UEFA Euro,Quarter-finals,Sat,Neutral,L,0 (4),0 (5),nl Netherlands,,,,27762.0,Olof Mellberg,4-1-2-1-2◆,Ľuboš Micheľ,Match Report,Netherlands won on penalty kicks following extra time,,,,0,0,2004,Sweden
0,2004-06-14,17:00,UEFA Euro,Group stage,Mon,Neutral,D,0,0,it Italy,,,,19595.0,René Henriksen,4-4-1-1,Manuel Mejuto,Match Report,,,,,0,0,2004,Denmark
1,2004-06-18,17:00,UEFA Euro,Group stage,Fri,Neutral,W,2,0,bg Bulgaria,,,,24131.0,René Henriksen,4-4-1-1,Lucílio Cardoso Cortez Batista,Match Report,,,,,0,0,2004,Denmark
2,2004-06-22,19:45,UEFA Euro,Group stage,Tue,Neutral,D,2,2,se Sweden,,,,26115.0,René Henriksen,4-4-2,Markus Merk,Match Report,,,,,0,0,2004,Denmark
3,2004-06-27,19:45,UEFA Euro,Quarter-finals,Sun,Neutral,L,0,3,cz Czechia,,,,41092.0,René Henriksen,4-5-1,Valentin Ivanov,Match Report,,,,,0,0,2004,Denmark
0,2004-06-14,17:00,UEFA Euro,Group stage,Mon,Neutral,D,0,0,dk Denmark,,,,19595.0,Fabio Cannavaro,4-2-3-1,Manuel Mejuto,Match Report,,,,,0,0,2004,Italy
1,2004-06-18,19:45,UEFA Euro,Group stage,Fri,Neutral,D,1,1,se Sweden,,,,44926.0,Fabio Cannavaro,,Urs Meier,Match Report,,,,,0,0,2004,Italy
2,2004-06-22,19:45,UEFA Euro,Group stage,Tue,Neutral,W,2,1,bg Bulgaria,,,,16002.0,Alessandro Del Piero,4-3-3,Valentin Ivanov,Match Report,,,,,0,0,2004,Italy
0,2004-06-12,19:45,UEFA Euro,Group stage,Sat,Neutral,W,1,0,ru Russia,,,,28182.0,Raúl,4-2-3-1,Urs Meier,Match Report,,,,,0,0,2004,Spain
1,2004-06-16,17:00,UEFA Euro,Group stage,Wed,Neutral,D,1,1,gr Greece,,,,25444.0,Raúl,4-4-1-1,Ľuboš Micheľ,Match Report,,,,,0,0,2004,Spain
2,2004-06-20,19:45,UEFA Euro,Group stage,Sun,Away,L,0,1,pt Portugal,,,,47491.0,Raúl,4-4-2,Anders Frisk,Match Report,,,,,0,0,2004,Spain
0,2004-06-12,19:45,UEFA Euro,Group stage,Sat,Neutral,L,0,1,es Spain,,,,28182.0,Alexey Smertin,4-1-4-1,Urs Meier,Match Report,,,,,0,0,2004,Russia
1,2004-06-16,19:45,UEFA Euro,Group stage,Wed,Away,L,0,2,pt Portugal,,,,59273.0,Alexey Smertin,4-1-4-1,Terje Hauge,Match Report,,,,,0,0,2004,Russia
2,2004-06-20,19:45,UEFA Euro,Group stage,Sun,Neutral,W,2,1,gr Greece,,,,24347.0,Dmitri Alenichev,4-1-2-1-2◆,Gilles Veissière,Match Report,,,,,0,0,2004,Russia
0,2004-06-15,19:45,UEFA Euro,Group stage,Tue,Neutral,D,1,1,nl Netherlands,,,,48197.0,Oliver Kahn,4-1-4-1,Anders Frisk,Match Report,,,,,0,0,2004,Germany
1,2004-06-19,17:00,UEFA Euro,Group stage,Sat,Neutral,D,0,0,lv Latvia,,,,22344.0,Oliver Kahn,4-4-2,Michael Riley,Match Report,,,,,0,0,2004,Germany
2,2004-06-23,19:45,UEFA Euro,Group stage,Wed,Neutral,L,1,2,cz Czechia,,,,46849.0,Oliver Kahn,4-1-4-1,Terje Hauge,Match Report,,,,,0,0,2004,Germany
0,2004-06-13,17:00,UEFA Euro,Group stage,Sun,Neutral,D,0,0,ch Switzerland,,,,24090.0,Boris Živković,4-1-2-1-2◆,Lucílio Cardoso Cortez Batista,Match Report,,,,,0,0,2004,Croatia
1,2004-06-17,19:45,UEFA Euro,Group stage,Thu,Neutral,D,2,2,fr France,,,,29160.0,Dario Šimić,4-4-2,Kim Milton Nielsen,Match Report,,,,,1,1,2004,Croatia
2,2004-06-21,19:45,UEFA Euro,Group stage,Mon,Neutral,L,2,4,eng England,,,,57047.0,Boris Živković,4-4-2,Pierluigi Collina,Match Report,,,,,0,0,2004,Croatia
0,2004-06-15,17:00,UEFA Euro,Group stage,Tue,Neutral,L,1,2,cz Czechia,,,,21744.0,Vitālijs Astafjevs,4-4-2,Gilles Veissière,Match Report,,,,,0,0,2004,Latvia
1,2004-06-19,17:00,UEFA Euro,Group stage,Sat,Neutral,D,0,0,de Germany,,,,22344.0,Vitālijs Astafjevs,4-4-2,Michael Riley,Match Report,,,,,0,0,2004,Latvia
2,2004-06-23,19:45,UEFA Euro,Group stage,Wed,Neutral,L,0,3,nl Netherlands,,,,27904.0,Vitālijs Astafjevs,4-4-2,Kim Milton Nielsen,Match Report,,,,,0,0,2004,Latvia
0,2004-06-13,17:00,UEFA Euro,Group stage,Sun,Neutral,D,0,0,hr Croatia,,,,24090.0,Jörg Stiel,4-1-2-1-2◆,Lucílio Cardoso Cortez Batista,Match Report,,,,,0,0,2004,Switzerland
1,2004-06-17,17:00,UEFA Euro,Group stage,Thu,Neutral,L,0,3,eng England,,,,28214.0,Jörg Stiel,,Valentin Ivanov,Match Report,,,,,0,0,2004,Switzerland
2,2004-06-21,19:45,UEFA Euro,Group stage,Mon,Neutral,L,1,3,fr France,,,,28111.0,Jörg Stiel,4-3-2-1,Ľuboš Micheľ,Match Report,,,,,0,0,2004,Switzerland
0,2004-06-14,19:45,UEFA Euro,Group stage,Mon,Neutral,L,0,5,se Sweden,,,,31652.0,Stiliyan Petrov,4-4-1-1,Michael Riley,Match Report,,,,,0,0,2004,Bulgaria
1,2004-06-18,17:00,UEFA Euro,Group stage,Fri,Neutral,L,0,2,dk Denmark,,,,24131.0,Stiliyan Petrov,4-2-3-1,Lucílio Cardoso Cortez Batista,Match Report,,,,,0,0,2004,Bulgaria
2,2004-06-22,19:45,UEFA Euro,Group stage,Tue,Neutral,L,1,2,it Italy,,,,16002.0,Zdravko Zdravkov,4-3-3,Valentin Ivanov,Match Report,,,,,1,1,2004,Bulgaria
0,2000-06-11,18:00,UEFA Euro,Group stage,Sun,Neutral,W,3,0,dk Denmark,,,,28100.0,Laurent Blanc,,Günter Benkö,Match Report,,,,,0,0,2000,France
1,2000-06-16,18:00,UEFA Euro,Group stage,Fri,Neutral,W,2,1,cz Czechia,,,,27243.0,Didier Deschamps,,Graham Poll,Match Report,,,,,0,0,2000,France
2,2000-06-21,20:45,UEFA Euro,Group stage,Wed,Away,L,2,3,nl Netherlands,,,,50000.0,Marcel Desailly,,Anders Frisk,Match Report,,,,,0,0,2000,France
3,2000-06-25,20:45,UEFA Euro,Quarter-finals,Sun,Neutral,W,2,1,es Spain,,,,26614.0,Marcel Desailly,,Pierluigi Collina,Match Report,,,,,0,0,2000,France
4,2000-06-28,20:45,UEFA Euro,Semi-finals,Wed,Neutral,W,2,1,pt Portugal,,,,48000.0,Didier Deschamps,,Günter Benkö,Match Report,Required Extra Time,,,,1,1,2000,France
